评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Tamara Rainey,Beautiful dress,https://www.amazon.com/gp/customer-reviews/R2D3WJPK76DPJH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," January 18, 2025",Size: 10-12 YearsColor: Pink,Verified Purchase,It was exactly what I ordered. Exactly size for my daughter. I bought the pink dress and it is perfect. My daughter loves the dress for her grandma's party.,
Kathleen P Stapleton,Super cute,https://www.amazon.com/gp/customer-reviews/RTKGUC0JVEENX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," January 4, 2025",Size: 8-10 YearsColor: Rainbow Multicolor,Verified Purchase,"Super cute I did go a size up and it fits really well. My daughter loves the tie on train. She also likes to wear it as a cape and with other outfits. She says it’s not itchy, which is what I was afraid of.",
K. Tilden,Adorable,https://www.amazon.com/gp/customer-reviews/R2RAJM7ORAYZ2T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 22, 2024",Size: 5-6 YearsColor: Red,Verified Purchase,"We used this dress to create a Red Queen (descendants 4) costume for our daughter.  It worked perfectly!  Beyond that, the dress itself is so adorable and fit her well.",2
zend101,Cute and Classy,https://www.amazon.com/gp/customer-reviews/R16PWQDEW0S230/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 21, 2024",Size: 10-12 YearsColor: Black,Verified Purchase,"Purchased this for my daughter's recital. She was stunning, and the price was reasonable.",
Laura Bulos,Beautiful dress,https://www.amazon.com/gp/customer-reviews/R1YX7DF9BVYIE2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 12, 2024",Size: 12-14 YearsColor: Pink,Verified Purchase,"Beautiful dress, nice quality, I bought this for my daughter for a wedding and she loved and felt like a princess.",2
Devin Moran,Never seen my niece so happy!,https://www.amazon.com/gp/customer-reviews/R12OV0FFCBFRTW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 6, 2024",Size: 7-8 YearsColor: Red,Verified Purchase,"My niece wanted to wear this for her Halloween costume while she dressed as Annie. As much as this dress doesn’t match that costume idea, she was SO elated and joyful wearing it.",
Amelia,Perfect,https://www.amazon.com/gp/customer-reviews/RLD8I01ZORYWK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 5, 2024",Size: 12-14 YearsColor: Red,Verified Purchase,"True to size, loved it",
Summer,Removable layer is useless,https://www.amazon.com/gp/customer-reviews/R320UT50B6CFQ4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"2.0 "," the United States "," December 2, 2024",Size: 12-14 YearsColor: Red,Verified Purchase,"Removable tulle outer layer is horrible quality. Sewn crooked and makes it look as if there are holes in it. The dress itself is gorgeous. However, the removable layer is basically trash.",
Iris Gonzalez,Material and color is just as pictured.,https://www.amazon.com/gp/customer-reviews/R11LK0LUI1DT1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," December 1, 2024",,Verified Purchase,I absolutely live this dress.its soft and very beautiful. The royal blue is as pictured. My daughter is excited about rbeing to wear it with or without the tail. It's absolutely gorgeous.,
Celia,Hermoso,https://www.amazon.com/gp/customer-reviews/R3TU7GXGAQBY39/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," November 13, 2024",Size: 8-10 YearsColor: Light Purple,,,
Misha Bassi,Gorgeous Dress,https://www.amazon.com/gp/customer-reviews/R18Q48WE3653CQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," November 7, 2024",Size: 7-8 YearsColor: Pink,,"Bought this dress for a formal fancy party and my 6 years old daughter looked absolutely adorable in it. Sizing is accurate, zipper quality is great, fabric is comfortable and Not itchy. It is sparkly, dress train is long and pretty also you can take off the train for dancing. Excellent value for money super happy with my purchase. Highly recommend",
Ethan,10th birthday celebration,https://www.amazon.com/gp/customer-reviews/R1WRJZWEQ04QGY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," November 2, 2024",Size: 12-14 YearsColor: Light Pink,Verified Purchase,"""This dress is actually the cutest! It's very versatile and comes with a detachable runner, which is super convenient for pictures. It made it easy for us to transition to our next location. Highly recommend!""",
Arlington,The dress is pretty but the long skirt attachment is more like a train.,https://www.amazon.com/gp/customer-reviews/RZQF0EAR0KPCS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"4.0 "," the United States "," October 26, 2024",Size: 8-10 YearsColor: Green,Verified Purchase,Used for a fancy holiday dress for my granddaughter. She loves it! Fits great. True to size. Train is very long,
Angelica Martinez,Very pretty 😍,https://www.amazon.com/gp/customer-reviews/RR89A7PCGCI8M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 22, 2024",Size: 8-10 YearsColor: Black,Verified Purchase,"It is a very pretty dress 👗 well made, it looks so elegant 👌",
Colleen McDole,Not bad for the price,https://www.amazon.com/gp/customer-reviews/RLB43NW0L25EA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"4.0 "," the United States "," October 19, 2024",Size: 5-6 YearsColor: Pink,Verified Purchase,Decent quality,
Paty,Good quality,https://www.amazon.com/gp/customer-reviews/R2547JR93DZWPX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"4.0 "," the United States "," October 18, 2024",Size: 6-7 YearsColor: Red,,Material is good.. perfect fit for my 7 year old..,
@paorui,Hermoso,https://www.amazon.com/gp/customer-reviews/RYDJMCEBHSUGT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 16, 2024",Size: 7-8 YearsColor: Rose Red,Verified Purchase,A mi hija le encanto,
MrsRivera,Get the dress.,https://www.amazon.com/gp/customer-reviews/R391VITQREZNRG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 14, 2024",Size: 12-14 YearsColor: Light Purple,Verified Purchase,It was worth the wait. This dress was lovely for my daughter’s 15th birthday. She is on the slim side so it fit her just how I wanted to. Love the color.,2
Kenneh K.,Beautiful dress and great fit,https://www.amazon.com/gp/customer-reviews/RW30X34HII131/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 11, 2024",Size: 10-12 YearsColor: Light Purple,Verified Purchase,My daughter wore this for her birthday dinner and it was beautiful dress and it was a great fit on her. She really love it. Some people assumed it was a custom made outfit. Highly recommended,
Cecilia Molina,Muy buen producto,https://www.amazon.com/gp/customer-reviews/R2NFVXTLF254R2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 11, 2024",Size: 7-8 YearsColor: Rose Gold,Verified Purchase,Mi nieta está encantada con su vestido,
Latoya A.,Awesome Dress,https://www.amazon.com/gp/customer-reviews/R7VNG92485JJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D47HXWFD,"5.0 "," the United States "," October 5, 2024",Size: 12-14 YearsColor: Rose Gold,Verified Purchase,Bought for my daughter's homecoming ceremony and it looked gorgeous. She usually is a size 14-16 Plus and the size 14 fit great. This pics don't do it justice!,3
