评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Amazon Customer,poor quality,https://www.amazon.com/gp/customer-reviews/R3VNZAGSXY7YD2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"1.0 "," the United States "," January 11, 2025",Color: White/Gray,Verified Purchase,Very expensive for the quality. Do not recommend.,
V,Hitting 8 Years with Radix One!,https://www.amazon.com/gp/customer-reviews/R3LL30UV6TGTUH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," December 31, 2024",Color: Black/Black,Verified Purchase,"I bought this Radix One wallet in 2017. I don't have it in my pants pockets, so there's less wear and tear. I have it usually in the pocket of my jacket or my bag. Been using it every day, it's been great since I switched from a classic bulky wallet to this one. Just fantastic, minimalist product and I love it.",
Symon,Solid,https://www.amazon.com/gp/customer-reviews/R2AX7YBO2L8E4J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," September 23, 2024",Color: Smoke/Black,Verified Purchase,"Solid, reliable product.",
Travis,Absolutely worth it,https://www.amazon.com/gp/customer-reviews/R1GLTC6FTEIHPL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," September 15, 2024",Color: Black/Black,Verified Purchase,"This mf lasted 8 years of daily use before the rubber finally busted. Totally worth it, ordering another right now.",
Kelly Diffie,Good wallet,https://www.amazon.com/gp/customer-reviews/RQ9EAT4YCJSAY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," September 7, 2024",Color: Black/Black,Verified Purchase,"I used this wallet for several years and when I retired it, I gave it to a friend who is still using it and also loves it.",
mshurden,Going on 10 years,https://www.amazon.com/gp/customer-reviews/R36TXH6UG4D8W1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," September 4, 2024",Color: Black/Black,,It has been so long since I bought this wallet that I honestly don’t remember how long it’s been. I know it is close to 10 years ago that I pulled the trigger and it is still going strong! The band is slightly worn in color but is holding up great. It holds anywhere from 8-10 cards for me along with some cash or receipts. If it ever does break I know where I will be getting my next one!,
Pamela Almonte Messon,Absolutely amazing 🥰😍 I love this brand!,https://www.amazon.com/gp/customer-reviews/RSW7HXFJDRGSX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," August 7, 2024",Color: Black/Black,Verified Purchase,"I bought this as a replacement for my 7-year Radix wallet, so durable, has a long capacity, and can hold a lot of cards and cash, see you in 7 years more my friend, 100000% recommended!!!!",
Marlon,Great Product,https://www.amazon.com/gp/customer-reviews/RGW6MJXZGFKFL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," July 14, 2024",Color: Smoke/Black,Verified Purchase,"Given the opportunity, I would buy this product again",
James S Glossner,Good product fot the cost.,https://www.amazon.com/gp/customer-reviews/R3DA1528Q1COKZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"5.0 "," the United States "," March 8, 2024",Color: Black/Black,Verified Purchase,"For the price, this is a great little cardholder. It takes a little practice to get the cards out.",
C K,"Plastic, not like old RFID blocking metal",https://www.amazon.com/gp/customer-reviews/R2QS8BK3MAHB5U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0155R9UP8,"3.0 "," the United States "," February 28, 2024",Color: White/Gray,,"Plastic, not like old RFID blocking metal",
