评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Sandy,Too small,https://www.amazon.com/gp/customer-reviews/R2U6CMB5CHJ1V5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"1.0 "," the United States "," October 12, 2024",Size: 3XColor: Blue Pink Multi Stripe,Verified Purchase,Dress runs the smallest I have ever bought in a big dize,
Blackburn,Stylish and Comfortable Maxi Dress,https://www.amazon.com/gp/customer-reviews/R2FAMFKQN78UTP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," September 11, 2024",,Verified Purchase,"""I absolutely love the Eloges Summer Maxi Dress! The combination of floral tie-dye and multi-stripe patterns is vibrant and eye-catching, perfect for summer. The dress is incredibly comfortable with its soft, breathable fabric and has a flattering fit. The pockets are a fantastic bonus, adding both practicality and style. It’s easy to dress up or down, making it a versatile addition to my wardrobe. Highly recommend for anyone looking for a stylish and comfy summer dress!""",
Heather,See through,https://www.amazon.com/gp/customer-reviews/R264XY7HV544NT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"1.0 "," the United States "," July 27, 2024",,Verified Purchase,"This dress is see through. bought it because I thought it would be a nice dress to wear to work, guess I’ll be wearing around the house",
Shannon,Disappointed,https://www.amazon.com/gp/customer-reviews/R33J034PIFPFM0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"1.0 "," the United States "," June 5, 2024",,Verified Purchase,"The dress fits weird and there's a hole in the pocket. It's not made like most maxis. Would probably be a nice dress for a tall, thin woman without shape. Very straight made, no flow in the skirt like the typical maxi. Fabric is thin and somewhat cheap feeling, definitely not the quality I expected for the price.",
Susie,"Nice material, pretty print",https://www.amazon.com/gp/customer-reviews/R30OVV83KEPI9V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," June 3, 2024",,Verified Purchase,I get compliments on this dress every time I wear it.,
Amazon Customer,Super Comfortable!,https://www.amazon.com/gp/customer-reviews/R378MW3GGTKH1M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," May 31, 2024",,Verified Purchase,I love this super comfortable Maxie dress. I dress it up with accessories to wear to work.,
LJ Hamilton,Grays didn't match,https://www.amazon.com/gp/customer-reviews/RGFQ50DINTU34/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"2.0 "," the United States "," May 31, 2024",,Verified Purchase,The top and bottom didn't seem to go together very well,
Amazon Customer,Fit as expected,https://www.amazon.com/gp/customer-reviews/R3IZEFBH6K787N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," May 22, 2024",Size: X-LargeColor: Dark Grey Floral,Verified Purchase,I liked the pockets,
Ellie,"Soft, fits well, pockets are tiny",https://www.amazon.com/gp/customer-reviews/R30WF5UO9DXRJW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"4.0 "," the United States "," May 22, 2024",,Verified Purchase,"Soft and fits well I'm 5 ft 2in and its about an inch on the floor, which isn't bad compared to other brands Pockets are tiny. My hands fit in but stretching them. when I tried to put my phone in the pocket the phone stuck out 80% so it barely fit. Maybe a flip phone would fit...The angle is odd to, I wouldn't trust the pockets to hold anything of value. Not even hairties if you move or walk. Besides that the dress is cute and comfy",
Kinda Hayek,So beautiful and soft love it,https://www.amazon.com/gp/customer-reviews/R3GY4R2JLFQ5EL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," May 13, 2024",Size: 1XColor: Navy Floral,Verified Purchase,,
Jennifer Gibson,Nicely made,https://www.amazon.com/gp/customer-reviews/RZLHEFOXF9NAT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," May 3, 2024",,Verified Purchase,"Beautiful pattern, nice soft fabric , I’m a true XL and this fits perfect with room, I could’ve gone with a L. Washed it a few times and hasn’t faded at all .",2
ITL,Perfect summer dress,https://www.amazon.com/gp/customer-reviews/R207QAH7C2YL5F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," April 26, 2024",Size: 1XColor: Grey Coral Floral,Verified Purchase,Really love it. It’s perfect summer dress. If you want the flowy not see true dress - order size up. It looks so much better when it’s lose. Gonna order at least couple more for summer. P.S I’m 5.7” 190lbs. Ordered XXL . Length is perfect. Fits Lose and flowy.,
david barbour,Great spring or summer dress,https://www.amazon.com/gp/customer-reviews/ROMKRUS08H2QM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," April 16, 2024",,Verified Purchase,"This fit great and was very comfortable to wear. Some dresses you want to get out of as soon as you can, this one felt good enough to stay in all day. Pretty and feminine",
UtMayesah,Cute and comfy.... LONG,https://www.amazon.com/gp/customer-reviews/R2L1AFF0LH8YFF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"4.0 "," the United States "," April 12, 2024",,Verified Purchase,"So it fit true to size other than length.  I would need to grown between 4 to 6 inches for it to hit at my ankles.  Im 5'6"".The top color is a darker, more vibrant color that is just different than the rest of the colors.  Ight kind of bothered me at first.... but with a sweater over it it didn't stand out too bad.",
Tess Er,Really shear/see through,https://www.amazon.com/gp/customer-reviews/RPIKAWN26MZPW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"3.0 "," the United States "," April 5, 2024",Size: LargeColor: Ivory Rose,Verified Purchase,"The dress is good but this white floral pattern material is really see through. I thought it would be fine with a slip, but no it isn't. Even with my slip, you can see my all my undergarments. Not a happy customer.",
Amazon Customer,Great Dress!,https://www.amazon.com/gp/customer-reviews/RN7MTZ7TY7609/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," March 31, 2024",,Verified Purchase,"I am about 5’4”, ~160lbs & a 36D. I normally wear a medium in most clothing items but I sized up & got a large in the dark grey floral & it fit perfectly. It was not too tight (I don’t normally like things to be super fitted), it fit my bust, the length fell right at my ankle. Some people said they felt it was see through, or they had issues with the pockets - but I experienced neither of these. My dress was not see through at all, my hands fit in both pockets & they didn’t stick out weird or make the dress look strange.",
Ashley,Great quality,https://www.amazon.com/gp/customer-reviews/RCRTUS0H0HERI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," March 27, 2024",,Verified Purchase,"Very comfortable and heavier, in a good way. than expected. Fit with a bit of space. Great buy!",
angelica,Great purchase,https://www.amazon.com/gp/customer-reviews/R200CQEFPO0MIW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"5.0 "," the United States "," March 25, 2024",Size: MediumColor: Charcoal Pink Tie Dye,Verified Purchase,I usually wear a large in tops. I guess this runs big. I ordered a medium and it fits perfect not too tight or loose and I'm a 38c. Pockets are small enough to hold your keys and chapstick,
VICTORIA STAUB,Color,https://www.amazon.com/gp/customer-reviews/R25G9I1ZCZ6VYC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"3.0 "," the United States "," March 24, 2024",,Verified Purchase,"I like the dress it's comfy however it appears to be more of a taupe on the picture when I ordered it.  I got shoes to match. However, it's grey. Not taupe at all. I'll still keep it but need new grey shoes",
Felicia Fuson,Too L o n g,https://www.amazon.com/gp/customer-reviews/RDKE5LE9NN8NI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08TT7Z6RC,"3.0 "," the United States "," March 18, 2024",,Verified Purchase,"Love the fit and comfort of the dress, the problem is it is way to long for someone 5'3.  I had to have it hemmed almost 3 inches and even with heels it was still to long.",
